name,surface_type,element_class,gross_area_m2,outside_boundary_condition,azimuth_rad,space_name,construction_name
Face 50,Wall,dis_duvar,6.0,Outdoors,0.0,kuzey_k1,disduvar
Face 14,Wall,dis_duvar,15.0,Outdoors,1.57,kuzeydogu,disduvar
Face 11,Wall,dis_duvar,18.0,Outdoors,0.0,kuzeydogu,disduvar
Face 10,Wall,ic_duvar,15.0,Surface,4.71,kuzeydogu,icduvar
Face 77,Wall,dis_duvar,6.0,Outdoors,3.14,guney_k1,disduvar
Face 75,Wall,ic_duvar,6.0,Surface,0.0,guney_k1,icduvar
Face 16,Wall,ic_duvar,18.0,Surface,3.14,kuzeydogu,icduvar
Face 3,Wall,ic_duvar,18.0,Surface,0.0,guneydogu,icduvar
Face 23,Wall,dis_duvar,15.0,Outdoors,0.0,batı,disduvar
Face 56,Wall,dis_duvar,18.0,Outdoors,0.0,kuzeydogu_k1,disduvar
Face 65,Wall,dis_duvar,15.0,Outdoors,4.71,guneybatı_k1,disduvar
Face 26,Wall,ic_duvar,9.0,Surface,1.57,batı,icduvar
Face 20,Wall,dis_duvar,24.0,Outdoors,4.71,batı,disduvar
Face 55,Wall,ic_duvar,9.0,Surface,4.71,kuzeydogu_k1,icduvar
Face 76,Wall,ic_duvar,15.0,Surface,1.57,guney_k1,icduvar
Face 27,Wall,dis_duvar,15.0,Outdoors,3.14,batı,disduvar
Face 6,Wall,dis_duvar,18.0,Outdoors,3.14,guneydogu,disduvar
Face 25,Wall,ic_duvar,15.0,Surface,1.57,batı,icduvar
Face 49,Wall,ic_duvar,9.0,Surface,4.71,kuzey_k1,icduvar
Face 37,Wall,dis_duvar,18.0,Outdoors,3.14,guneydogu_k1,disduvar
Face 51,Wall,ic_duvar,9.0,Surface,1.57,kuzey_k1,icduvar
Face 68,Wall,ic_duvar,9.0,Surface,0.0,guneybatı_k1,icduvar
Face 52,Wall,ic_duvar,6.0,Surface,3.14,kuzey_k1,icduvar
Face 84,Wall,ic_duvar,15.0,Surface,4.71,guney_k1,icduvar
Face 2,Wall,ic_duvar,9.0,Surface,4.71,guneydogu,icduvar
Face 4,Wall,dis_duvar,9.0,Outdoors,1.57,guneydogu,disduvar
Face 70,Wall,dis_duvar,9.0,Outdoors,3.14,guneybatı_k1,disduvar
Face 69,Wall,ic_duvar,15.0,Surface,1.57,guneybatı_k1,icduvar
Face 61,Wall,ic_duvar,18.0,Surface,3.14,kuzeydogu_k1,icduvar
Face 32,Wall,ic_duvar,15.0,Surface,4.71,guneydogu_k1,icduvar
Face 59,Wall,dis_duvar,9.0,Outdoors,1.57,kuzeydogu_k1,disduvar
Face 46,Wall,ic_duvar,9.0,Surface,3.14,kuzeybatı_k1,icduvar
Face 41,Wall,dis_duvar,9.0,Outdoors,4.71,kuzeybatı_k1,disduvar
Face 43,Wall,dis_duvar,9.0,Outdoors,0.0,kuzeybatı_k1,disduvar
Face 45,Wall,ic_duvar,9.0,Surface,1.57,kuzeybatı_k1,icduvar
Face 33,Wall,ic_duvar,18.0,Surface,0.0,guneydogu_k1,icduvar
Face 34,Wall,dis_duvar,15.0,Outdoors,1.57,guneydogu_k1,disduvar
