case_id,label,window_construction,heating_setpoint_c,cooling_setpoint_c,chiller_cop,boiler_efficiency,lighting_primary_w_m2,lighting_secondary_w_m2,infiltration_multiplier,elevator_power_w,eps_thickness_cm,eps_conductivity_w_mk,site_energy_gj,eui_mj_m2,heating_gj,cooling_gj,lighting_gj,equipment_gj,fans_gj,pumps_gj,unmet_heating_hours,unmet_cooling_hours,ashrae55_discomfort_hours,comfort_violation_hours,glass_u_factor,glass_shgc,severe_errors,warnings
case_020cd717b3ca,"Kazan verimi=0.763648 | Chiller COP=5.28295W/W | Sogutma ayar noktasi=25.0011C | Asansor motoru gucu=1991.93W | EPS isil iletkenligi=0.02494W/mK | EPS kalinligi=7.51483cm | Isitma ayar noktasi=22.2201C | Sizdirmazlik carpani=1.03324 | Aydinlatma - ofis, salon, atolye=6.0404W/m2 | Aydinlatma - koridor, merdiven, WC=1.15873W/m2 | Cam tipi=penc_lowe_4mm",penc_lowe_4mm,22.220136,25.001146,5.282949,0.763648,6.040401,1.158733,1.033241,1991.929693,7.514831,0.02494,1682.14,396.15,25.1,1033.07,180.26,226.63,198.7,18.38,0.0,1.17,1318.17,52.0,1.943,0.591,0,25
case_0559bc60c952,"Kazan verimi=0.631792 | Chiller COP=6.64738W/W | Sogutma ayar noktasi=23.8312C | Asansor motoru gucu=4288.72W | EPS isil iletkenligi=0.023535W/mK | EPS kalinligi=8.56715cm | Isitma ayar noktasi=23.3312C | Sizdirmazlik carpani=0.531302 | Aydinlatma - ofis, salon, atolye=10.5138W/m2 | Aydinlatma - koridor, merdiven, WC=6.91998W/m2 | Cam tipi=penc_cont_6_4mm",penc_cont_6_4mm,23.331247,23.831247,6.64738,0.631792,10.513774,6.919979,0.531302,4288.716083,8.56715,0.023535,1591.48,374.8,158.07,623.13,376.98,252.97,163.33,17.0,0.0,0.0,967.67,0.0,1.682,0.353,0,25
case_080c559515bc,"Kazan verimi=0.915135 | Chiller COP=2.67653W/W | Sogutma ayar noktasi=25.1291C | Asansor motoru gucu=1283.05W | EPS isil iletkenligi=0.023348W/mK | EPS kalinligi=29.7538cm | Isitma ayar noktasi=20.4053C | Sizdirmazlik carpani=1.07978 | Aydinlatma - ofis, salon, atolye=2.22975W/m2 | Aydinlatma - koridor, merdiven, WC=4.53244W/m2 | Cam tipi=penc_lowe_argon_4mm",penc_lowe_argon_4mm,20.405321,25.129146,2.676535,0.915135,2.22975,4.532436,1.079778,1283.045005,29.753832,0.023348,2544.6,599.27,1.58,1997.88,119.46,218.5,192.56,14.63,0.0,1.67,1591.33,81.0,1.836,0.595,0,25
case_084c0c78d9ec,"Kazan verimi=0.976375 | Chiller COP=6.87479W/W | Sogutma ayar noktasi=24.6811C | Asansor motoru gucu=7861.49W | EPS isil iletkenligi=0.017682W/mK | EPS kalinligi=2.39355cm | Isitma ayar noktasi=16.8868C | Sizdirmazlik carpani=0.717451 | Aydinlatma - ofis, salon, atolye=14.5729W/m2 | Aydinlatma - koridor, merdiven, WC=6.4269W/m2 | Cam tipi=penc_renk_6mm",penc_renk_6mm,16.886802,24.681146,6.874786,0.976375,14.572946,6.4269,0.717451,7861.494911,2.393547,0.017682,1893.18,445.85,0.0,868.72,481.72,293.94,233.57,15.23,0.0,0.0,1591.0,542.0,2.673,0.606,0,25
case_0c239b4d73d6,"Kazan verimi=0.915428 | Chiller COP=4.07595W/W | Sogutma ayar noktasi=27.9579C | Asansor motoru gucu=3310.46W | EPS isil iletkenligi=0.01918W/mK | EPS kalinligi=5.51543cm | Isitma ayar noktasi=22.3312C | Sizdirmazlik carpani=0.341828 | Aydinlatma - ofis, salon, atolye=7.28301W/m2 | Aydinlatma - koridor, merdiven, WC=5.59645W/m2 | Cam tipi=penc_snerji_4mm",penc_snerji_4mm,22.331247,27.957946,4.075952,0.915428,7.283005,5.59645,0.341828,3310.455213,5.515426,0.01918,1588.23,374.04,2.47,929.18,271.49,241.75,134.38,8.97,0.0,0.0,4293.5,40811.0,1.739,0.476,0,25
case_0cc83f34517d,"Kazan verimi=0.608937 | Chiller COP=6.1226W/W | Sogutma ayar noktasi=28.0731C | Asansor motoru gucu=1311.4W | EPS isil iletkenligi=0.045216W/mK | EPS kalinligi=17.6171cm | Isitma ayar noktasi=21.6275C | Sizdirmazlik carpani=0.39169 | Aydinlatma - ofis, salon, atolye=10.0167W/m2 | Aydinlatma - koridor, merdiven, WC=2.40441W/m2",penc_std_4mm,21.627543,28.073146,6.122599,0.608937,10.016733,2.404408,0.39169,1311.400393,17.617091,0.045216,1437.75,338.6,5.65,750.74,305.16,218.82,145.14,12.25,0.0,0.0,4026.67,41904.0,2.718,0.731,0,30
case_0e2d8c395dd3,"Kazan verimi=0.702408 | Chiller COP=7.0847W/W | Sogutma ayar noktasi=25.4491C | Asansor motoru gucu=2913.48W | EPS isil iletkenligi=0.030653W/mK | EPS kalinligi=5.37512cm | Isitma ayar noktasi=15.8498C | Sizdirmazlik carpani=1.39557 | Aydinlatma - ofis, salon, atolye=7.61437W/m2 | Aydinlatma - koridor, merdiven, WC=6.73832W/m2",penc_std_4mm,15.849765,25.449146,7.084698,0.702408,7.614366,6.738318,1.395568,2913.479788,5.375117,0.030653,1522.75,358.62,0.0,770.33,295.28,237.2,205.77,14.17,0.0,3.0,2160.0,1492.0,2.718,0.731,0,25
case_0ecda2b75629,"Kazan verimi=0.737862 | Chiller COP=7.94184W/W | Sogutma ayar noktasi=27.0491C | Asansor motoru gucu=3239.57W | EPS isil iletkenligi=0.032104W/mK | EPS kalinligi=6.39236cm | Isitma ayar noktasi=18.8498C | Sizdirmazlik carpani=1.45873 | Aydinlatma - ofis, salon, atolye=8.69129W/m2 | Aydinlatma - koridor, merdiven, WC=7.1795W/m2",penc_std_4mm,18.849765,27.049146,7.941841,0.737862,8.691289,7.179495,1.458726,3239.566744,6.392358,0.032104,1354.76,319.05,1.68,598.07,330.44,240.93,171.31,12.32,0.0,2.83,3252.33,37096.0,2.718,0.731,0,25
case_0f1e776f82f3,"Kazan verimi=0.660507 | Chiller COP=5.00307W/W | Sogutma ayar noktasi=28.5851C | Asansor motoru gucu=2899.3W | EPS isil iletkenligi=0.042219W/mK | EPS kalinligi=11.4435cm | Isitma ayar noktasi=19.7387C | Sizdirmazlik carpani=1.13961 | Aydinlatma - ofis, salon, atolye=10.6795W/m2 | Aydinlatma - koridor, merdiven, WC=4.06531W/m2",penc_std_4mm,19.738654,28.585146,5.003065,0.660507,10.679455,4.065308,1.139612,2899.302094,11.443488,0.042219,1576.99,371.39,2.38,839.97,344.71,237.03,142.17,10.73,0.0,0.5,3595.67,40093.0,2.718,0.731,0,28
case_1026ab91ad51,"Kazan verimi=0.753978 | Chiller COP=7.22464W/W | Sogutma ayar noktasi=27.4971C | Asansor motoru gucu=6202.7W | EPS isil iletkenligi=0.02199W/mK | EPS kalinligi=3.41079cm | Isitma ayar noktasi=22.7757C | Sizdirmazlik carpani=1.34238 | Aydinlatma - ofis, salon, atolye=12.2534W/m2 | Aydinlatma - koridor, merdiven, WC=1.54801W/m2 | Cam tipi=penc_renk_6mm",penc_renk_6mm,22.775691,27.497146,7.22464,0.753978,12.253419,1.548007,1.342382,6202.704741,3.410788,0.02199,1511.14,355.88,107.06,593.66,355.33,274.92,162.56,17.6,0.0,1.17,3200.5,35158.0,2.673,0.606,0,25
case_138dd6be0d24,"Kazan verimi=0.809065 | Chiller COP=2.22172W/W | Sogutma ayar noktasi=22.8379C | Asansor motoru gucu=2332.19W | EPS isil iletkenligi=0.059825W/mK | EPS kalinligi=2.42862cm | Isitma ayar noktasi=21.3312C | Sizdirmazlik carpani=1.35235 | Aydinlatma - ofis, salon, atolye=4.05224W/m2 | Aydinlatma - koridor, merdiven, WC=4.27292W/m2",penc_std_4mm,21.331247,22.837946,2.221724,0.809065,4.052236,4.27292,1.352355,2332.194344,2.428624,0.059825,3734.72,879.55,63.63,2964.98,166.0,230.53,283.39,26.18,0.0,4.5,361.0,0.0,2.718,0.731,1,25
