Time,BOILER LOOP 1:FAN COIL WITH CONST FAN VAR FLUID FLOW - HEATING COIL:Design Water Volume Flow Rate [m3/s],BOILER LOOP 1:FAN COIL WITH CONST FAN VAR FLUID FLOW - HEATING COIL 3:Design Water Volume Flow Rate [m3/s],BOILER LOOP 1:FAN COIL WITH CONST FAN VAR FLUID FLOW - HEATING COIL 4:Design Water Volume Flow Rate [m3/s],BOILER LOOP 1:FAN COIL WITH CONST FAN VAR FLUID FLOW - HEATING COIL 1:Design Water Volume Flow Rate [m3/s],BOILER LOOP 1:FAN COIL WITH CONST FAN VAR FLUID FLOW - HEATING COIL 2:Design Water Volume Flow Rate [m3/s],BOILER LOOP 1:FAN COIL WITH CONST FAN VAR FLUID FLOW - HEATING COIL 5:Design Water Volume Flow Rate [m3/s]
00:10:00,9.004765E-04,1.700188E-04,9.371955E-04,8.503682E-05,7.100536E-04,8.603019E-05
00:20:00,9.009501E-04,1.702299E-04,9.374643E-04,8.504487E-05,7.102710E-04,8.604039E-05
00:30:00,9.014195E-04,1.704687E-04,9.377321E-04,8.505663E-05,7.104970E-04,8.605036E-05
00:40:00,9.018849E-04,1.706949E-04,9.379989E-04,8.506778E-05,7.107164E-04,8.606012E-05
00:50:00,9.023465E-04,1.709221E-04,9.382651E-04,8.507979E-05,7.109346E-04,8.606968E-05
01:00:00,9.028045E-04,1.711485E-04,9.385307E-04,8.509251E-05,7.111510E-04,8.607905E-05
01:10:00,9.030142E-04,1.712311E-04,9.386493E-04,8.508243E-05,7.112374E-04,8.608813E-05
01:20:00,9.032206E-04,1.713424E-04,9.387678E-04,8.507670E-05,7.113393E-04,8.609707E-05
01:30:00,9.034238E-04,1.714240E-04,9.388862E-04,8.506870E-05,7.114290E-04,8.610587E-05
01:40:00,9.036240E-04,1.715164E-04,9.390046E-04,8.506279E-05,7.115218E-04,8.611453E-05
01:50:00,9.038214E-04,1.716063E-04,9.391230E-04,8.505753E-05,7.116128E-04,8.612305E-05
02:00:00,9.040159E-04,1.716952E-04,9.392414E-04,8.505310E-05,7.117025E-04,8.613144E-05
02:10:00,9.042079E-04,1.717834E-04,9.393600E-04,8.504952E-05,7.117909E-04,8.613970E-05
02:20:00,9.043972E-04,1.718709E-04,9.394787E-04,8.504679E-05,7.118781E-04,8.614784E-05
02:30:00,9.045841E-04,1.719577E-04,9.395977E-04,8.504491E-05,7.119642E-04,8.615587E-05
02:40:00,9.047685E-04,1.720437E-04,9.397168E-04,8.504388E-05,7.120493E-04,8.616378E-05
02:50:00,9.049507E-04,1.721291E-04,9.398363E-04,8.504368E-05,7.121334E-04,8.617159E-05
03:00:00,9.051305E-04,1.722137E-04,9.399560E-04,8.504432E-05,7.122164E-04,8.617930E-05
03:10:00,9.053082E-04,1.722977E-04,9.400761E-04,8.504578E-05,7.122986E-04,8.618691E-05
03:20:00,9.054837E-04,1.723811E-04,9.401964E-04,8.504806E-05,7.123798E-04,8.619442E-05
03:30:00,9.056572E-04,1.724637E-04,9.403171E-04,8.505115E-05,7.124601E-04,8.620184E-05
03:40:00,9.058286E-04,1.725458E-04,9.404382E-04,8.505503E-05,7.125396E-04,8.620918E-05
03:50:00,9.059982E-04,1.726272E-04,9.405595E-04,8.505969E-05,7.126183E-04,8.621644E-05
04:00:00,9.061658E-04,1.727080E-04,9.406813E-04,8.506512E-05,7.126962E-04,8.622361E-05
04:10:00,9.063315E-04,1.727882E-04,9.408033E-04,8.507131E-05,7.127734E-04,8.623070E-05
04:20:00,9.064954E-04,1.728678E-04,9.409257E-04,8.507824E-05,7.128497E-04,8.623772E-05
04:30:00,9.066575E-04,1.729468E-04,9.410484E-04,8.508590E-05,7.129254E-04,8.624466E-05
04:40:00,9.068179E-04,1.730252E-04,9.411714E-04,8.509427E-05,7.130003E-04,8.625152E-05
04:50:00,9.069766E-04,1.731030E-04,9.412946E-04,8.510334E-05,7.130746E-04,8.625832E-05
05:00:00,9.071335E-04,1.731802E-04,9.414182E-04,8.511310E-05,7.131481E-04,8.626505E-05
05:10:00,9.072889E-04,1.732569E-04,9.415421E-04,8.512352E-05,7.132210E-04,8.627170E-05
05:20:00,9.074426E-04,1.733330E-04,9.416662E-04,8.513460E-05,7.132933E-04,8.627830E-05
05:30:00,9.075947E-04,1.734085E-04,9.417905E-04,8.514632E-05,7.133649E-04,8.628482E-05
05:40:00,9.077452E-04,1.734835E-04,9.419151E-04,8.515866E-05,7.134358E-04,8.629129E-05
05:50:00,9.078942E-04,1.735580E-04,9.420398E-04,8.517161E-05,7.135062E-04,8.629769E-05
06:00:00,9.080417E-04,1.736319E-04,9.421648E-04,8.518515E-05,7.135759E-04,8.630403E-05
06:10:00,9.081877E-04,1.737052E-04,9.422900E-04,8.519928E-05,7.136451E-04,8.631031E-05
06:20:00,9.083322E-04,1.737781E-04,9.424153E-04,8.521397E-05,7.137136E-04,8.631653E-05
06:30:00,9.084753E-04,1.738504E-04,9.425407E-04,8.522921E-05,7.137816E-04,8.632270E-05
06:40:00,9.086169E-04,1.739222E-04,9.426663E-04,8.524498E-05,7.138490E-04,8.632880E-05
06:50:00,9.088490E-04,1.923554E-04,9.656731E-04,8.753734E-05,7.296057E-04,8.706268E-05
07:00:00,9.090796E-04,2.107969E-04,9.886456E-04,8.983188E-05,7.453835E-04,8.779584E-05
07:10:00,9.065630E-04,2.277402E-04,1.008740E-03,9.212410E-05,7.598652E-04,8.852830E-05
07:20:00,9.039997E-04,2.446951E-04,1.028797E-03,9.441951E-05,7.743337E-04,8.926077E-05
07:30:00,9.014210E-04,2.616301E-04,1.048841E-03,9.671486E-05,7.887869E-04,8.999329E-05
07:40:00,8.988229E-04,2.785626E-04,1.068870E-03,9.901164E-05,8.032320E-04,9.072584E-05
07:50:00,8.961149E-04,2.771278E-04,1.066004E-03,9.903327E-05,8.019782E-04,9.073059E-05
08:00:00,8.933908E-04,2.756795E-04,1.063160E-03,9.905406E-05,8.006951E-04,9.073604E-05
08:10:00,8.344519E-04,2.440243E-04,1.029684E-03,9.750528E-05,7.734230E-04,8.921674E-05
08:20:00,7.751299E-04,2.121507E-04,9.959773E-04,9.593050E-05,7.459148E-04,8.767879E-05
08:30:00,7.155450E-04,1.801877E-04,9.621088E-04,9.434322E-05,7.182588E-04,8.612814E-05
08:40:00,6.557571E-04,1.481430E-04,9.281177E-04,9.274711E-05,6.904936E-04,8.456730E-05
08:50:00,5.957942E-04,1.160243E-04,8.940213E-04,9.114120E-05,6.626229E-04,8.299738E-05
09:00:00,5.356752E-04,8.384385E-05,8.598308E-04,8.952839E-05,6.346658E-04,8.141932E-05
09:10:00,5.309285E-04,8.146636E-05,8.554689E-04,8.948247E-05,6.323136E-04,8.135922E-05
09:20:00,5.264168E-04,7.921782E-05,8.512426E-04,8.945455E-05,6.301020E-04,8.131079E-05
09:30:00,5.220161E-04,7.701139E-05,8.470762E-04,8.943471E-05,6.279622E-04,8.126845E-05
09:40:00,5.176844E-04,7.482786E-05,8.429435E-04,8.941808E-05,6.258574E-04,8.123007E-05
09:50:00,5.134025E-04,7.266556E-05,8.388334E-04,8.940638E-05,6.237903E-04,8.119484E-05
10:00:00,5.091585E-04,7.051508E-05,8.347386E-04,8.939701E-05,6.217454E-04,8.116210E-05
10:10:00,5.083747E-04,7.021356E-05,8.342376E-04,8.938952E-05,6.213125E-04,8.113141E-05
10:20:00,5.076628E-04,6.993901E-05,8.337870E-04,8.938391E-05,6.209238E-04,8.110248E-05
10:30:00,5.070002E-04,6.968244E-05,8.333704E-04,8.937993E-05,6.205647E-04,8.107507E-05
10:40:00,5.063777E-04,6.943971E-05,8.329806E-04,8.937738E-05,6.202293E-04,8.104902E-05
