Hourly,TZ_ASNSR:Zone Air Relative Humidity[%],TZ_ATOLYE:Zone Air Relative Humidity[%],TZ_KONFSALON:Zone Air Relative Humidity[%],TZ_KORIDOR:Zone Air Relative Humidity[%],TZ_MECODA:Zone Air Relative Humidity[%],TZ_MERDVN:Zone Air Relative Humidity[%],TZ_ODA:Zone Air Relative Humidity[%],TZ_WC:Zone Air Relative Humidity[%],TZ_ASNSR:Zone Air Temperature[C],TZ_ATOLYE:Zone Air Temperature[C],TZ_KONFSALON:Zone Air Temperature[C],TZ_KORIDOR:Zone Air Temperature[C],TZ_MECODA:Zone Air Temperature[C],TZ_MERDVN:Zone Air Temperature[C],TZ_ODA:Zone Air Temperature[C],TZ_WC:Zone Air Temperature[C]
2006-Jan-01 01:00:00,3.1828945813948004,99.16507072920218,40.28798944160865,40.82287526810486,38.75898901933981,34.85514186335172,41.545633170222466,33.664785540518956,68.24385506231057,22.215411592206475,22.00006338929124,22.000546181955073,20.966662150355805,22.268441935316947,22.000251065635442,23.097489676134085
2006-Jan-01 02:00:00,3.242944713659419,98.24889621199355,39.96457535916912,40.45835345142289,38.8577214327776,34.536664221339066,41.25880821589296,33.49308874036293,67.7586625151968,22.307717176290726,22.000083709805438,22.000305978772587,20.92545198253814,22.387168088753786,22.000188309610923,23.14435704626757
2006-Jan-01 03:00:00,3.3469781175884123,98.26599369719973,39.4030818939155,39.87060819703418,38.72331560791161,34.35592519224563,40.74771748663381,33.44567711810362,66.86381938467527,22.164382662761962,22.00010598724896,22.00050460460646,20.869258043783315,22.349231348763563,22.000329141568386,23.03491087701383
2006-Jan-01 04:00:00,3.4637571619218974,98.38598997559482,38.55381553831714,39.07070563928725,38.069432024061584,34.26215517286516,40.17251436793061,33.41542207854199,65.96100445450656,22.027919862252556,22.000126433504718,22.000801209893467,20.808852048611563,22.267914112590336,22.000509767889355,22.917571544305925
2006-Jan-01 05:00:00,3.589530141822626,98.36670251130828,37.92520008718293,38.504601784938906,37.58140980292138,34.2821111873875,39.82927963069822,33.50898389539133,65.16300125220837,22.001510499039814,22.000143992118353,22.00101303038242,20.756924129676545,22.224269014954768,22.000300806303446,22.83307682708777
2006-Jan-01 06:00:00,3.723046230158271,98.4094092625606,37.27272797799702,37.90808897629062,37.072783069134125,34.315735403897285,39.45936015763909,33.6090791081082,64.34299029477684,22.000217124600862,22.000119516585475,22.001082122934132,20.696966720992837,22.16354489021388,22.00010704691454,22.734620633300157
2006-Jan-01 07:00:00,3.8565233341090384,98.5190216353637,36.50264417373793,37.17726585671419,36.71511862394828,34.350540613225135,38.9993113345754,33.69121840719601,63.54807647044209,22.000289730313636,22.0000559256699,22.00034823727717,20.512517886580184,22.083735077319844,22.000175925045212,22.6240596647977
2006-Jan-01 08:00:00,3.9861674861958356,98.95032482539666,35.17029557184967,36.05546617093192,36.61443577242671,34.18035522450271,38.06911644253653,33.66609198963625,62.75854240448914,22.00029915131854,22.000106133152617,22.00053001419253,19.884337513968816,22.000560583149916,22.00032559230746,22.45657677204025
2006-Jan-01 09:00:00,1.3556871575838683,94.80465669741011,33.557987696392544,38.448245845126024,35.6678697707434,33.800654404926235,37.75390089598421,31.760216332252842,89.18540583812451,23.666249159996692,22.908954676885315,22.144925703601036,20.043957937376646,22.067336773640033,22.086816175821898,23.147529053504297
2006-Jan-01 10:00:00,1.1669190576619661,97.62858656632284,35.19159749546925,41.581020967237144,36.910732093803155,33.73357310769241,37.571349020581046,30.7810411722251,92.74772483463614,23.99623328637386,23.4206162185026,22.757532483922787,20.103521979228233,22.264817384718132,22.798188791546064,23.852039277678966
